Sent,Tags,Item_Id,Condition,surprisal
वह,NP1,1,a,0.00071
लड़का,NP1,1,a,0.20139
जिसने,RCPn,1,a,0.00893
किताब,RCObj,1,a,1.16949
बहुत,PreRCVerb,1,a,0.04601
दिलचस्पी,PreRCVerb,1,a,0.59214
से,PreRCVerb,1,a,0.01315
पढ़ी,RCVerb,1,a,1.23694
थी,RCVerb,1,a,0.00221
मेरा,PreMainVerb,1,a,0.19699
दोस्त,PreMainVerb,1,a,0.17546
है।,MainVerb,1,a,0.56791
वह,NP1,1,b,0.00071
लड़का,NP1,1,b,0.20139
जिसने,RCPn,1,b,0.00893
बहुत,PreRCVerb,1,b,0.07137
दिलचस्पी,PreRCVerb,1,b,0.87761
से,PreRCVerb,1,b,0.01281
पढ़ी,RCVerb,1,b,1.2985
थी,RCVerb,1,b,0.00221
किताब,RCObj,1,b,0.12832
मेरा,PreMainVerb,1,b,0.48134
दोस्त,PreMainVerb,1,b,0.179
है।,MainVerb,1,b,0.56791
वह,NP1,1,c,0.00071
किताब,NP1,1,c,0.20149
जिसको,RCPn,1,c,0.00893
उस,RCSubj,1,c,0.02087
लड़के,RCSubj,1,c,0.65505
ने,RCSubj,1,c,0.01345
बहुत,PreRCVerb,1,c,0.03389
दिलचस्पी,PreRCVerb,1,c,0.50497
से,PreRCVerb,1,c,0.01315
पढ़ा,RCVerb,1,c,1.55801
था,RCVerb,1,c,0.00219
बहुत,PreMainVerb,1,c,0.10175
मोटी,PreMainVerb,1,c,0.17535
है।,MainVerb,1,c,0.18531
वह,NP1,1,d,0.00071
किताब,NP1,1,d,0.20149
जिसको,RCPn,1,d,0.00893
बहुत,PreRCVerb,1,d,0.07143
दिलचस्पी,PreRCVerb,1,d,0.87817
से,PreRCVerb,1,d,0.01281
पढ़ा,RCVerb,1,d,1.29679
था,RCVerb,1,d,0.00219
उस,RCSubj,1,d,0.20965
लड़के,RCSubj,1,d,0.1606
ने,RCSubj,1,d,0.16332
बहुत,PreMainVerb,1,d,0.56888
मोटी,PreMainVerb,1,d,0.23319
है।,MainVerb,1,d,0.18848
वह,NP1,2,a,0.00071
बच्चा,NP1,2,a,0.20119
जिसने,RCPn,2,a,0.00895
रोटी,RCObj,2,a,1.17027
बहुत,PreRCVerb,2,a,0.04599
जल्दी,PreRCVerb,2,a,0.85671
से,PreRCVerb,2,a,0.69244
खायी,RCVerb,2,a,1.24917
थी,RCVerb,2,a,0.0032
मेरा,PreMainVerb,2,a,0.21364
भतीजा,PreMainVerb,2,a,0.22636
है।,MainVerb,2,a,0.59136
वह,NP1,2,b,0.00071
बच्चा,NP1,2,b,0.20119
जिसने,RCPn,2,b,0.00895
बहुत,PreRCVerb,2,b,0.07137
जल्दी,PreRCVerb,2,b,0.64123
से,PreRCVerb,2,b,0.69244
खायी,RCVerb,2,b,1.28106
थी,RCVerb,2,b,0.0032
रोटी,RCObj,2,b,0.17907
मेरा,PreMainVerb,2,b,0.498
भतीजा,PreMainVerb,2,b,0.2299
है।,MainVerb,2,b,0.59136
वह,NP1,2,c,0.00071
रोटी,NP1,2,c,0.20158
जिसको,RCPn,2,c,0.00893
उस,RCSubj,2,c,0.02087
बच्चे,RCSubj,2,c,0.65814
ने,RCSubj,2,c,0.01344
बहुत,PreRCVerb,2,c,0.03403
जल्दी,PreRCVerb,2,c,0.50204
से,PreRCVerb,2,c,0.69244
खाया,RCVerb,2,c,1.44853
था,RCVerb,2,c,0.00317
दो,PreMainVerb,2,c,0.18429
दिन,PreMainVerb,2,c,0.21286
पुरानी,PreMainVerb,2,c,0.58901
है।,MainVerb,2,c,0.17392
वह,NP1,2,d,0.00071
रोटी,NP1,2,d,0.20158
जिसको,RCPn,2,d,0.00893
बहुत,PreRCVerb,2,d,0.07143
जल्दी,PreRCVerb,2,d,0.64123
से,PreRCVerb,2,d,0.69244
खाया,RCVerb,2,d,1.28116
था,RCVerb,2,d,0.00317
उस,RCSubj,2,d,0.22087
बच्चे,RCSubj,2,d,0.21117
ने,RCSubj,2,d,0.16322
दो,PreMainVerb,2,d,0.60649
दिन,PreMainVerb,2,d,0.26223
पुरानी,PreMainVerb,2,d,0.58901
है।,MainVerb,2,d,0.17392
वह,NP1,3,a,0.00071
आदमी,NP1,3,a,0.20192
जिसने,RCPn,3,a,0.00896
सब्जीयाँ,RCObj,3,a,1.17086
धीरे-धीरे,PreRCVerb,3,a,0.09735
चुनी,RCVerb,3,a,0.95149
थीं,RCVerb,3,a,0.00346
मेरे,PreMainVerb,3,a,0.22392
मुहल्ले,PreMainVerb,3,a,0.23578
में,PreMainVerb,3,a,0.14898
रहता,MainVerb,3,a,0.71417
है।,MainVerb,3,a,0.79093
वह,NP1,3,b,0.00071
आदमी,NP1,3,b,0.20192
