Sent,Item_Id,Cond
"वह_लड़का,@NP1 जिसने@RCPn किताब@RCObj बहुत_दिलचस्पी_से@PreRCVerb पढ़ी_थी,@RCVerb मेरा_दोस्त@PreMainVerb है।@MainVerb",1,a
"वह_लड़का,@NP1 जिसने@RCPn बहुत_दिलचस्पी_से@PreRCVerb पढ़ी_थी@RCVerb किताब,@RCObj मेरा_दोस्त@PreMainVerb है।@MainVerb",1,b
"वह_किताब,@NP1 जिसको@RCPn उस_लड़के_ने@RCSubj बहुत_दिलचस्पी_से@PreRCVerb पढ़ा_था,@RCVerb बहुत_मोटी@PreMainVerb है।@MainVerb",1,c
"वह_किताब,@NP1 जिसको@RCPn बहुत_दिलचस्पी_से@PreRCVerb पढ़ा_था@RCVerb उस_लड़के_ने,@RCSubj बहुत_मोटी@PreMainVerb है।@MainVerb",1,d
"वह_बच्चा,@NP1 जिसने@RCPn रोटी@RCObj बहुत_जल्दी_से@PreRCVerb खायी_थी,@RCVerb मेरा_भतीजा@PreMainVerb है।@MainVerb",2,a
"वह_बच्चा,@NP1 जिसने@RCPn बहुत_जल्दी_से@PreRCVerb खायी_थी@RCVerb रोटी,@RCObj मेरा_भतीजा@PreMainVerb है।@MainVerb",2,b
"वह_रोटी,@NP1 जिसको@RCPn उस_बच्चे_ने@RCSubj बहुत_जल्दी_से@PreRCVerb खाया_था,@RCVerb दो_दिन_पुरानी@PreMainVerb है।@MainVerb",2,c
"वह_रोटी,@NP1 जिसको@RCPn बहुत_जल्दी_से@PreRCVerb खाया_था@RCVerb उस_बच्चे_ने,@RCSubj दो_दिन_पुरानी@PreMainVerb है।@MainVerb",2,d
"वह_आदमी,@NP1 जिसने@RCPn सब्जीयाँ@RCObj धीरे-धीरे@PreRCVerb चुनी_थीं,@RCVerb मेरे@PreMainVerb मुहल्ले_में@PreMainVerb रहता_है।@MainVerb",3,a
"वह_आदमी,@NP1 जिसने@RCPn धीरे-धीरे@PreRCVerb चुनी_थीं@RCVerb सब्जीयाँ,@RCObj मेरे@PreMainVerb मुहल्ले_में@PreMainVerb रहता_है।@MainVerb",3,b
"वह_सब्जीयाँ,@NP1 जिनको@RCPn उस_आदमी_ने@RCSubj धीरे-धीरे@PreRCVerb चुना_था,@RCVerb बहुत_महंगी@PreMainVerb हैं।@MainVerb",3,c
"वह_सब्जीयाँ,@NP1 जिनको@RCPn धीरे-धीरे@PreRCVerb चुना_था@RCVerb उस_आदमी_ने,@RCSubj बहुत_महंगी@PreMainVerb हैं।@MainVerb",3,d
"वह_बच्ची,@NP1 जिसने@RCPn मिठाई@RCObj आराम_से@PreRCVerb खायी_थी,@RCVerb मेरी@PreMainVerb बहन@PreMainVerb है।@MainVerb",4,a
"वह_बच्ची,@NP1 जिसने@RCPn आराम_से@PreRCVerb खायी_थी@RCVerb मिठाई,@RCObj मेरी@PreMainVerb बहन@PreMainVerb है।@MainVerb",4,b
"वह_मिठाई,@NP1 जिसको@RCPn उस_बच्ची_ने@RCSubj आराम_से@PreRCVerb खाया_था,@RCVerb बहुत_मीठी@PreMainVerb होती_है।@MainVerb",4,c
"वह_मिठाई,@NP1 जिसको@RCPn आराम_से@PreRCVerb खाया_था@RCVerb उस_बच्ची_ने,@RCSubj बहुत_मीठी@PreMainVerb होती_है।@MainVerb",4,d
"वह_औरत,@NP1 जिसने@RCPn नाव@RCObj पिछले_हफ्ते@PreRCVerb खरीदी_थी,@RCVerb इस_गाँव_की@PreMainVerb सरपंच@PreMainVerb है।@MainVerb",5,a
"वह_औरत,@NP1 जिसने@RCPn पिछले_हफ्ते@PreRCVerb खरीदी_थी@RCVerb नाव,@RCObj इस_गाँव_की@PreMainVerb सरपंच@PreMainVerb है।@MainVerb",5,b
"वह_नाव,@NP1 जिसको@RCPn उस_औरत_ने@RCSubj पिछले_हफ्ते@PreRCVerb खरीदा_था,@RCVerb बहुत_प्रसिद्ध@PreMainVerb है।@MainVerb",5,c
"वह_नाव,@NP1 जिसको@RCPn पिछले_हफ्ते@PreRCVerb खरीदा_था@RCVerb उस_औरत_ने,@RCSubj बहुत_﻿प्रसिद्ध@PreMainVerb है।@MainVerb",5,d
"वह_लड़की,@NP1 जिसने@RCPn कविता@RCObj सारे_लोगो_के_सामने@PreRCVerb गायी_थी,@RCVerb बहुत_गरीब@PreMainVerb है।@MainVerb",6,a
"वह_लड़की,@NP1 जिसने@RCPn सारे_लोगो_के_सामने@PreRCVerb गायी_थी@RCVerb कविता,@RCObj बहुत_गरीब@PreMainVerb है।@MainVerb",6,b
"वह_कविता,@NP1 जिसको@RCPn उस_लड़की_ने@RCSubj सारे_लोगो_के_सामने@PreRCVerb गाया_था,@RCVerb काफी_पुरानी@PreMainVerb है।@MainVerb",6,c
"वह_कविता,@NP1 जिसको@RCPn सारे_लोगो_के_सामने@PreRCVerb गाया_था@RCVerb उस_लड़की_ने,@RCSubj काफी_पुरानी@PreMainVerb है।@MainVerb",6,d
"वह_आदमी,@NP1 जिसने@RCPn स्कूटर@RCObj बड़ी_मेहनत_से@PreRCVerb साफ_की_थी,@RCVerb पुराना_कर्मचारी@PreMainVerb है।@MainVerb",7,a
"वह_आदमी,@NP1 जिसने@RCPn बड़ी_मेहनत_से@PreRCVerb साफ_की_थी@RCVerb स्कूटर,@RCObj पुराना_कर्मचारी@PreMainVerb है।@MainVerb",7,b
"वह_स्कूटर,@NP1 जिसको@RCPn उस_आदमी_ने@RCSubj बड़ी_मेहनत_से@PreRCVerb साफ_किया_था,@RCVerb बैटरी_से@PreMainVerb चलती_है।@MainVerb",7,c
"वह_स्कूटर,@NP1 जिसको@RCPn बड़ी_मेहनत_से@PreRCVerb साफ_किया_था@RCVerb उस_आदमी_ने,@RCSubj बैटरी_से@PreMainVerb चलती_है।@MainVerb",7,d
"वह_माली,@NP1 जिसने@RCPn लकड़ी@RCObj बहुत_दिलचस्पी_से@PreRCVerb रखी_थी,@RCVerb बहुत_बूढ़ा@PreMainVerb है।@MainVerb",8,a
"वह_माली,@NP1 जिसने@RCPn बहुत_दिलचस्पी_से@PreRCVerb रखी_थी@RCVerb लकड़ी,@RCObj बहुत_बूढ़ा@PreMainVerb है।@MainVerb",8,b
"वह_लकड़ी,@NP1 जिसको@RCPn उस_माली_ने@RCSubj बहुत_दिलचस्पी_से@PreRCVerb रखा_था,@RCVerb बहुत_विचित्र@PreMainVerb है।@MainVerb",8,c
"वह_लकड़ी,@NP1 जिसको@RCPn बहुत_दिलचस्पी_से@PreRCVerb रखा_था@RCVerb उस_माली_ने,@RCSubj बहुत_विचित्र@PreMainVerb है।@MainVerb",8,d
"वह_किसान,@NP1 जिसने@RCPn फसल@RCObj कल_सुबाह@PreRCVerb मैदान_में@PreRCVerb काटी_थी,@RCVerb बहुत_मेहनती@PreMainVerb है।@MainVerb",9,a
"वह_किसान,@NP1 जिसने@RCPn कल_सुबाह@PreRCVerb मैदान_में@PreRCVerb काटी_थी@RCVerb फसल,@RCObj बहुत_मेहनती@PreMainVerb है।@MainVerb",9,b
"वह_फसल,@NP1 जिसको@RCPn उस_किसान_ने@RCSubj कल_सुबाह@PreRCVerb मैदान_में@PreRCVerb काटा_था,@RCVerb काफी_महंगी@PreMainVerb है।@MainVerb",9,c
"वह_फसल,@NP1 जिसको@RCPn कल_सुबाह@PreRCVerb मैदान_में@PreRCVerb काटा_था@RCVerb उस_किसान_ने,@RCSubj काफी_महंगी@PreMainVerb है।@MainVerb",9,d
"वह_टी-टी,@NP1 जिसने@RCPn सिगरेट@RCObj वेटिंग_रूम_के_सामने@PreRCVerb मांगी_थी,@RCVerb मेरी@PreMainVerb मौसी_का@PreMainVerb रिशतेदार@PreMainVerb है।@MainVerb",10,a
"वह_टी-टी,@NP1 जिसने@RCPn वेटिंग_रूम_के_सामने@PreRCVerb मांगी_थी@RCVerb सिगरेट,@RCObj मेरी@PreMainVerb मौसी_का@PreMainVerb रिशतेदार@PreMainVerb है।@MainVerb",10,b
"वह_सिगरेट,@NP1 जिसको@RCPn उस_टी-टी_ने@RCSubj वेटिंग_रूम_के_सामने@PreRCVerb मांगा_था,@RCVerb विलायत_से@PreMainVerb आती_है।@MainVerb",10,c
"वह_सिगरेट,@NP1 जिसको@RCPn वेटिंग_रूम_के_सामने@PreRCVerb मांगा_था@RCVerb उस_टी-टी_ने,@RCSubj विलायत_से@PreMainVerb आती_है।@MainVerb",10,d
"वह_बढ़ई,@NP1 जिसने@RCPn अलमारी@RCObj नीम_के_पेड़_के_नीचे@PreRCVerb बनायी_थी,@RCVerb यहाँ@PreMainVerb कई_सालों_से@PreMainVerb काम_कर_रहा_है।@MainVerb",11,a
"वह_बढ़ई,@NP1 जिसने@RCPn नीम_के_पेड़_के_नीचे@PreRCVerb बनायी_थी@RCVerb अलमारी,@RCObj यहाँ@PreMainVerb कई_सालों_से@PreMainVerb काम_कर_रहा_है।@MainVerb",11,b
"वह_अलमारी,@NP1 जिसको@RCPn उस_बढ़ई_ने@RCSubj नीम_के_पेड़_के_नीचे@PreRCVerb बनाया_था,@RCVerb लकड़ी_की@PreMainVerb है।@MainVerb",11,c
"वह_अलमारी,@NP1 जिसको@RCPn नीम_के_पेड़_के_नीचे@PreRCVerb बनाया_था@RCVerb उस_बढ़ई_ने,@RCSubj लकड़ी_की@PreMainVerb है।@MainVerb",11,d
"वह_दुकानदार,@NP1 जिसने@RCPn पुरानी_बन्दूक@RCObj इस_साल@PreRCVerb एक-दो_बार@PreRCVerb म्यूजियम_में@PreRCVerb दिखायी_थी,@RCVerb मशहूर_संग्रहकर्ता@PreMainVerb है।@MainVerb",12,a
"वह_दुकानदार,@NP1 जिसने@RCPn इस_साल@PreRCVerb एक-दो_बार@PreRCVerb म्यूजियम_में@PreRCVerb दिखायी_थी@RCVerb पुरानी_बन्दूक,@RCObj मशहूर_संग्रहकर्ता@PreMainVerb है।@MainVerb",12,b
"वह_बन्दूक,@NP1 जिसको@RCPn उस_दुकानदार_ने@RCSubj इस_साल@PreRCVerb एक-दो_बार@PreRCVerb म्यूजियम_में@PreRCVerb दिखाया_था,@RCVerb अंग्रेज़ो_के_ज़माने_की@PreMainVerb है।@MainVerb",12,c
"वह_बन्दूक,@NP1 जिसको@RCPn इस_साल@PreRCVerb एक-दो_बार@PreRCVerb म्यूजियम_में@PreRCVerb दिखाया_था@RCVerb उस_दुकानदार_ने,@RCSubj अंग्रेज़ो_के_ज़माने_की@PreMainVerb है।@MainVerb",12,d
"वह_प्रोफेसर,@NP1 जिसने@RCPn पहेली@RCObj क्लास_में@PreRCVerb सुलझाई_थी,@RCVerb गणित@PreMainVerb बहुत_अच्छा@PreMainVerb पढ़ाते_हैं।@MainVerb",13,a
"वह_प्रोफेसर,@NP1 जिसने@RCPn क्लास_में@PreRCVerb सुलझाई_थी@RCVerb पहेली,@RCObj गणित@PreMainVerb बहुत_अच्छा@PreMainVerb पढ़ाते_हैं।@MainVerb",13,b
"वह_पहेली,@NP1 जिसको@RCPn उस_प्रोफेसर_ने@RCSubj क्लास_में@PreRCVerb सुलझाया_था,@RCVerb बहुत_कठिन@PreMainVerb थी।@MainVerb",13,c
"वह_पहेली,@NP1 जिसको@RCPn क्लास_में@PreRCVerb सुलझाया_था@RCVerb उस_प्रोफेसर_ने,@RCSubj बहुत_कठिन@PreMainVerb थी।@MainVerb",13,d
"वह_ग्राहक,@NP1 जिसने@RCPn कमीज@RCObj बहुत_जल्दीबाजी_में@PreRCVerb खरीदी_थी,@RCVerb इस_दुकान_में@PreMainVerb कई_बार@PreMainVerb आ_चुका_है।@MainVerb",14,a
